BRUKSDØGN;PRISOMRÅDE;VOLUM_KWH;ANTALL_ORGANISASJONER;ANTALL_MÅLEPUNKT
2022-01-01;NO1;284723,521;20;57
2022-01-01;NO2;800246,725;15;25
2022-01-01;NO3;950759,950;6;8
2022-01-01;NO4;37344,273;6;16
2022-01-01;NO5;97852,000;5;10
2022-01-02;NO1;280069,644;20;57
2022-01-02;NO2;787685,524;15;25
2022-01-02;NO3;942867,450;6;8
2022-01-02;NO4;37566,187;6;16
2022-01-02;NO5;97951,606;5;10
2022-01-03;NO1;283691,683;20;57
2022-01-03;NO2;808886,842;15;25
2022-01-03;NO3;947283,400;6;8
2022-01-03;NO4;38102,332;6;16
2022-01-03;NO5;99341,518;5;10
2022-01-04;NO1;284813,539;20;57
2022-01-04;NO2;819554,534;15;25
2022-01-04;NO3;953857,960;6;8
2022-01-04;NO4;38235,308;6;16
2022-01-04;NO5;100163,877;5;10
2022-01-05;NO1;287730,619;20;57
2022-01-05;NO2;752856,775;15;25
2022-01-05;NO3;955069,060;6;8
2022-01-05;NO4;38508,314;6;16
2022-01-05;NO5;99682,806;6;11
2022-01-06;NO1;296066,598;20;57
2022-01-06;NO2;819250,906;15;25
2022-01-06;NO3;956476,030;6;8
2022-01-06;NO4;38419,990;6;16
2022-01-06;NO5;99650,070;6;11
2022-01-07;NO1;310374,741;20;57
2022-01-07;NO2;818853,100;15;25
2022-01-07;NO3;955733,300;6;8
2022-01-07;NO4;38678,307;6;16
2022-01-07;NO5;99715,195;6;11
2022-01-08;NO1;319110,995;20;57
2022-01-08;NO2;827948,814;15;25
2022-01-08;NO3;954799,310;6;8
2022-01-08;NO4;38535,684;6;16
2022-01-08;NO5;99564,973;6;11
2022-01-09;NO1;312932,275;20;57
2022-01-09;NO2;823993,280;15;25
2022-01-09;NO3;957250,460;6;8
2022-01-09;NO4;38526,280;6;16
2022-01-09;NO5;99341,722;6;11
2022-01-10;NO1;319840,045;20;57
2022-01-10;NO2;833231,841;15;25
2022-01-10;NO3;955227,920;6;8
2022-01-10;NO4;38672,663;6;16
2022-01-10;NO5;98615,920;6;11
2022-01-11;NO1;324290,282;20;57
2022-01-11;NO2;834470,362;15;25
2022-01-11;NO3;948367,920;6;8
2022-01-11;NO4;38718,551;6;16
2022-01-11;NO5;97766,877;6;11
2022-01-12;NO1;322099,881;20;57
2022-01-12;NO2;836394,406;15;25
2022-01-12;NO3;948175,550;6;8
2022-01-12;NO4;38535,526;6;16
2022-01-12;NO5;99221,342;6;11
2022-01-13;NO1;319198,077;20;57
2022-01-13;NO2;831201,069;15;25
2022-01-13;NO3;945078,260;6;8
2022-01-13;NO4;38838,572;6;16
2022-01-13;NO5;99429,434;6;11
2022-01-14;NO1;321965,255;20;57
2022-01-14;NO2;832173,119;15;25
2022-01-14;NO3;951246,950;6;8
2022-01-14;NO4;39014,189;6;16
2022-01-14;NO5;99545,027;6;11
2022-01-15;NO1;322872,007;20;57
2022-01-15;NO2;831797,034;15;25
2022-01-15;NO3;950947,710;6;8
2022-01-15;NO4;38354,572;6;16
2022-01-15;NO5;99178,795;6;11
2022-01-16;NO1;323626,615;20;57
2022-01-16;NO2;825489,408;15;25
2022-01-16;NO3;931831,500;6;8
2022-01-16;NO4;38414,579;6;16
2022-01-16;NO5;99235,221;6;11
2022-01-17;NO1;328212,293;20;57
2022-01-17;NO2;817349,302;15;25
2022-01-17;NO3;951816,499;6;8
2022-01-17;NO4;38533,861;6;16
2022-01-17;NO5;99318,229;6;11
2022-01-18;NO1;328012,860;20;57
2022-01-18;NO2;801185,569;15;25
2022-01-18;NO3;944045,370;6;8
2022-01-18;NO4;39005,443;6;16
2022-01-18;NO5;99548,937;6;11
2022-01-19;NO1;330107,054;20;57
2022-01-19;NO2;444048,757;15;25
2022-01-19;NO3;949109,700;6;8
2022-01-19;NO4;38959,660;6;16
2022-01-19;NO5;99397,473;6;11
2022-01-20;NO1;342089,961;20;57
2022-01-20;NO2;190022,464;15;25
2022-01-20;NO3;954075,080;6;8
2022-01-20;NO4;36116,841;6;16
2022-01-20;NO5;99539,736;6;11
2022-01-21;NO1;343140,808;20;57
2022-01-21;NO2;677322,310;15;25
2022-01-21;NO3;950828,740;6;8
2022-01-21;NO4;38953,938;6;16
2022-01-21;NO5;104384,094;6;11
